students_capped,price_clean,is_free,discount_rate_actual,source,students_log,price_log,has_discount
301,110.0,False,44.72,Shaguf,5.71042701737487,4.709530201312334,True
1,17.0,False,85.43,Shaguf,0.6931471805599453,2.8903717578961645,True
107,2490.0,False,0.0,Shaguf,4.68213122712422,7.820439515262181,False
223,7.0,False,99.75,Shaguf,5.4116460518550396,2.0794415416798357,True
2,21.0,False,86.0,Shaguf,1.0986122886681096,3.091042453358316,True
1,9.0,False,99.34,Shaguf,0.6931471805599453,2.302585092994046,True
101,13.0,False,99.48,Shaguf,4.624972813284271,2.639057329615259,True
1,5.0,False,80.0,Shaguf,0.6931471805599453,1.791759469228055,True
331,110.0,False,44.72,Shaguf,5.805134968916488,4.709530201312334,True
1,10.0,False,89.9,Shaguf,0.6931471805599453,2.3978952727983707,True
1130,11.0,False,86.8,Shaguf,7.030857476116121,2.4849066497880004,True
321,110.0,False,44.72,Shaguf,5.7745515455444085,4.709530201312334,True
302,5.0,False,93.98,Shaguf,5.713732805509369,1.791759469228055,True
2,24.0,False,71.2,Shaguf,1.0986122886681096,3.2188758248682006,True
106,10.0,False,99.67,Shaguf,4.672828834461906,2.3978952727983707,True
374,14.0,False,99.44,Shaguf,5.926926025970411,2.70805020110221,True
102,11.0,False,89.52,Shaguf,4.634728988229636,2.4849066497880004,True
225,15.0,False,88.72,Shaguf,5.420534999272286,2.772588722239781,True
101,30.0,False,84.92,Shaguf,4.624972813284271,3.4339872044851463,True
202,12.0,False,76.0,Shaguf,5.313205979041787,2.5649493574615367,True
212,14.0,False,94.0,Shaguf,5.3612921657094255,2.70805020110221,True
223,11.0,False,91.73,Shaguf,5.4116460518550396,2.4849066497880004,True
108,24.0,False,91.97,Shaguf,4.6913478822291435,3.2188758248682006,True
252,19.0,False,77.2,Shaguf,5.53338948872752,2.995732273553991,True
180,6.0,False,90.77,Shaguf,5.198497031265826,1.9459101490553132,True
371,10.0,False,87.95,Shaguf,5.918893854273146,2.3978952727983707,True
161,12.0,False,82.0,Shaguf,5.087596335232384,2.5649493574615367,True
1101,4.0,False,99.8,Shaguf,7.00488198971286,1.6094379124341003,True
1,8.0,False,97.33,Shaguf,0.6931471805599453,2.1972245773362196,True
313,8.0,False,96.8,Shaguf,5.749392985908253,2.1972245773362196,True
230,15.0,False,88.72,Shaguf,5.442417710521793,2.772588722239781,True
102,6.0,False,81.82,Shaguf,4.634728988229636,1.9459101490553132,True
1,21.0,False,74.6,Shaguf,0.6931471805599453,3.091042453358316,True
1120,3.0,False,96.97,Shaguf,7.02197642307216,1.3862943611198906,True
371,4.0,False,95.18,Shaguf,5.918893854273146,1.6094379124341003,True
2,21.0,False,74.8,Shaguf,1.0986122886681096,3.091042453358316,True
2,21.0,False,74.8,Shaguf,1.0986122886681096,3.091042453358316,True
102,2.0,False,93.94,Shaguf,4.634728988229636,1.0986122886681096,True
102,6.0,False,90.11,Shaguf,4.634728988229636,1.9459101490553132,True
151,23.0,False,99.23,Shaguf,5.0238805208462765,3.1780538303479458,True
42,18.0,False,79.23,Shaguf,3.7612001156935624,2.9444389791664403,True
461,28.0,False,66.4,Shaguf,6.135564891081739,3.367295829986474,True
106,89.0,False,0.0,Shaguf,4.672828834461906,4.499809670330265,False
362,4.0,False,95.18,Shaguf,5.8944028342648505,1.6094379124341003,True
220,17.0,False,74.37,Shaguf,5.3981627015177525,2.8903717578961645,True
1,2.0,False,99.92,Shaguf,0.6931471805599453,1.0986122886681096,True
203,12.0,False,85.6,Shaguf,5.318119993844216,2.5649493574615367,True
52,35.0,False,84.09,Shaguf,3.970291913552122,3.58351893845611,True
1,18.0,False,79.15,Shaguf,0.6931471805599453,2.9444389791664403,True
2,8.0,False,92.0,Shaguf,1.0986122886681096,2.1972245773362196,True
100,10.0,False,99.55,Shaguf,4.61512051684126,2.3978952727983707,True
114,8.0,False,93.14,Shaguf,4.74493212836325,2.1972245773362196,True
301,69.0,False,65.33,Shaguf,5.71042701737487,4.248495242049359,True
281,10.0,False,90.0,Shaguf,5.641907070938114,2.3978952727983707,True
2,69.0,False,65.33,Shaguf,1.0986122886681096,4.248495242049359,True
3,69.0,False,65.33,Shaguf,1.3862943611198906,4.248495242049359,True
3,69.0,False,65.33,Shaguf,1.3862943611198906,4.248495242049359,True
3,2.0,False,96.0,Shaguf,1.3862943611198906,1.0986122886681096,True
2,7.0,False,91.6,Shaguf,1.0986122886681096,2.0794415416798357,True
106,13.0,False,99.57,Shaguf,4.672828834461906,2.639057329615259,True
2,3.0,False,94.0,Shaguf,1.0986122886681096,1.3862943611198906,True
353,7.0,False,87.65,Shaguf,5.869296913133774,2.0794415416798357,True
107,7.0,False,99.77,Shaguf,4.68213122712422,2.0794415416798357,True
101,18.0,False,81.94,Shaguf,4.624972813284271,2.9444389791664403,True
111,4.0,False,99.8,Shaguf,4.718498871295094,1.6094379124341003,True
3,5.0,False,97.49,Shaguf,1.3862943611198906,1.791759469228055,True
318,7.0,False,99.77,Shaguf,5.765191102784844,2.0794415416798357,True
105,6.0,False,85.6,Shaguf,4.663439094112067,1.9459101490553132,True
1,8.0,False,90.4,Shaguf,0.6931471805599453,2.1972245773362196,True
1,18.0,False,84.57,Shaguf,0.6931471805599453,2.9444389791664403,True
201,16.0,False,99.46,Shaguf,5.308267697401205,2.833213344056216,True
1,2.0,False,98.67,Shaguf,0.6931471805599453,1.0986122886681096,True
2,16.0,False,83.84,Shaguf,1.0986122886681096,2.833213344056216,True
108,2490.0,False,0.0,Shaguf,4.6913478822291435,7.820439515262181,False
244,4.0,False,99.87,Shaguf,5.501258210544727,1.6094379124341003,True
120,23.0,False,72.4,Shaguf,4.795790545596741,3.1780538303479458,True
118,9.0,False,99.68,Shaguf,4.77912349311153,2.302585092994046,True
214,35.0,False,87.41,Shaguf,5.3706380281276624,3.58351893845611,True
101,11.0,False,96.86,Shaguf,4.624972813284271,2.4849066497880004,True
104,4.0,False,91.95,Shaguf,4.653960350157523,1.6094379124341003,True
1,6.0,False,99.73,Shaguf,0.6931471805599453,1.9459101490553132,True
2,120.0,False,51.81,Shaguf,1.0986122886681096,4.795790545596741,True
202,4.0,False,99.87,Shaguf,5.313205979041787,1.6094379124341003,True
2,15.0,False,93.57,Shaguf,1.0986122886681096,2.772588722239781,True
